loan_id,customer_id,product_type,principal_amount,interest_rate,term_months,origination_date,origination_channel,status,borrower_info
L0007672,C001422,Mortgage,1678045,7.26,120,2022-06-10,partner,charged_off,"{""credit_score"": 823, ""employment"": ""salaried"", ""annual_income"": 261195, ""years_employed"": 13}"
L0006957,C000860,Auto,27349.30,13.18,84,2025-05-26,online,active,"{""credit_score"": 596, ""employment"": ""unemployed"", ""annual_income"": 253407, ""years_employed"": 29}"
L0005675,C000739,Auto,40482.26,6.62,36,2021-03-12,partner,closed,"{""credit_score"": 685, ""employment"": ""retired"", ""annual_income"": 197011, ""years_employed"": 6}"
L0009142,C000920,mortgage,54532,7.51,360,05-Mar-2023,online,charged_off,"{""credit_score"": 632, ""employment"": ""salaried"", ""annual_income"": 163119, ""years_employed"": 20}"
L0003119,C000810,MORTGAGE,1411192.60,6.46,180,2025-03-26,branch,active,"{""credit_score"": 836, ""employment"": ""retired"", ""annual_income"": 285957, ""years_employed"": 6}"
L0000361,C002730,AUTO,"16,604.33",8.12,72,2022-10-22,broker,default,"{""credit_score"": 800, ""employment"": ""retired"", ""annual_income"": 57347, ""years_employed"": 13}"
L0000256,C003594,AUTO,"12,497.59",13.68,36,2024-05-11,broker,default,"{""credit_score"": 793, ""employment"": ""self-employed"", ""annual_income"": 128087, ""years_employed"": 4}"
L0008726,C002521,personal,"29,456.48",22.01,48,2025-03-13,branch,active,"{""credit_score"": 674, ""employment"": ""retired"", ""annual_income"": 21811, ""years_employed"": 6}"
L0005331,C002449,mortgage,"221,484.63",6.32,360,2024-07-13,online,active,"{""credit_score"": 725, ""employment"": ""salaried"", ""annual_income"": 160742, ""years_employed"": 25}"
L0002295,C004003,Auto,75032.86,9.43,60,2021-09-21,online,active,"{""credit_score"": 838, ""employment"": ""unemployed"", ""annual_income"": 160036, ""years_employed"": 7}"
L0004857,C005545,MORTGAGE,732563.92,7.86,120,2023-12-04,partner,closed,"{""credit_score"": 686, ""employment"": ""unemployed"", ""annual_income"": 272288, ""years_employed"": 23}"
L0003014,C002635,Student,192978.82,9.95,120,2021-03-24,broker,closed,"{""credit_score"": 832, ""employment"": ""self-employed"", ""annual_income"": 128615, ""years_employed"": 17"
L0002489,C000366,PERSONAL,14002.69,11.94,48,2021-04-07,online,active,"{""credit_score"": 565, ""employment"": ""self-employed"", ""annual_income"": 77556, ""years_employed"": 27}"
L0007323,C004602,Personal,"$1,897.09",23.6,60,12/22/2021,branch,closed,"{""credit_score"": 580, ""employment"": ""self-employed"", ""annual_income"": 189082, ""years_employed"": 1}"
L0002530,C000353,Mortgage,705012,6.87,360,2024-08-08,online,closed,"{""credit_score"": 673, ""employment"": ""unemployed"", ""annual_income"": 290030, ""years_employed"": 16}"
L0004676,C003289,auto,"32,513.84",7.45,60,04-Sep-2022,online,active,"{""credit_score"": 813, ""employment"": ""unemployed"", ""annual_income"": 269674, ""years_employed"": 9}"
L0001291,C001477,Personal,"22,059.22",11.89,48,2024-07-14,partner,default,"{""credit_score"": 807, ""employment"": ""unemployed"", ""annual_income"": 295113, ""years_employed"": 14}"
L0000497,C005157,mortgage,706510.09,5.33,120,2021-01-18,partner,charged_off,"{""credit_score"": 844, ""employment"": ""unemployed"", ""annual_income"": 229365, ""years_employed"": 15}"
L0002590,C005288,personal,45533,12.19,36,2023-04-29,branch,active,"{""credit_score"": 799, ""employment"": ""salaried"", ""annual_income"": 279544, ""years_employed"": 23}"
L0003150,C005751,personal,13249.21,11.94,60,2022-04-23,partner,default,"{""credit_score"": 616, ""employment"": ""salaried"", ""annual_income"": 77961, ""years_employed"": 16}"
L0003879,C003237,Personal,"$29,560.13",13.36,60,02/12/2020,partner,charged_off,"{""credit_score"": 675, ""employment"": ""self-employed"", ""annual_income"": 107792, ""years_employed"": 12}"
L0001847,C000616,AUTO,7399.17,13.32,36,2024-12-22,broker,default,"{""credit_score"": 748, ""employment"": ""salaried"", ""annual_income"": 143847, ""years_employed"": 26}"
L0000358,C000195,AUTO,"$23,168.67",12.82,72,09/23/2023,broker,active,"{""credit_score"": 776, ""employment"": ""salaried"", ""annual_income"": 53877, ""years_employed"": 27}"
L0000520,C002481,personal,12152,22.87,48,2023-01-04,online,charged_off,"{""credit_score"": 592, ""employment"": ""unemployed"", ""annual_income"": 123492, ""years_employed"": 3}"
L0008046,C005490,Mortgage,"1,593,770.84",7.68,360,2022-10-01,partner,closed,"{""credit_score"": 551, ""employment"": ""unemployed"", ""annual_income"": 290256, ""years_employed"": 16}"
L0009143,C000544,Mortgage,"$1,734,213.84",3.92,120,01/29/2025,online,active,"{""credit_score"": 640, ""employment"": ""retired"", ""annual_income"": 166724, ""years_employed"": 23}"
L0003450,C000851,PERSONAL,11017.09,23.02,60,2021-12-04,partner,active,"{""credit_score"": 559, ""employment"": ""retired"", ""annual_income"": 282292, ""years_employed"": 22}"
L0007291,C005650,PERSONAL,"42,480.67",7.74,12,2023-02-21,online,closed,"{""credit_score"": 722, ""employment"": ""self-employed"", ""annual_income"": 169245, ""years_employed"": 30}"
L0001633,C000284,AUTO,23493,7.5,72,2021-04-20,branch,closed,"{""credit_score"": 764, ""employment"": ""salaried"", ""annual_income"": 168247, ""years_employed"": 12}"
L0007196,C005824,MORTGAGE,"272,388.81",3.25,360,2021-09-23,broker,active,"{""credit_score"": 645, ""employment"": ""self-employed"", ""annual_income"": 56659, ""years_employed"": 13}"
L0009895,C004050,Student,96961,4.53,240,2022-04-17,online,active,"{""credit_score"": 819, ""employment"": ""self-employed"", ""annual_income"": 267079, ""years_employed"": 24}"
L0009867,C000343,MORTGAGE,973571.04,6.72,360,2024-11-16,partner,closed,"{""credit_score"": 707, ""employment"": ""unemployed"", ""annual_income"": 265379, ""years_employed"": 7}"
L0008792,C003148,Personal,11130.00,11.11,48,2022-04-27,online,active,"{""credit_score"": 727, ""employment"": ""unemployed"", ""annual_income"": 78570, ""years_employed"": 21}"
L0005397,C004090,MORTGAGE,989534.17,6.17,240,2020-10-11,partner,active,"{""credit_score"": 564, ""employment"": ""unemployed"", ""annual_income"": 61833, ""years_employed"": 1}"
L0006483,C000822,Student,"$5,309.65",10.63,60,04/24/2025,online,active,"{""credit_score"": 659, ""employment"": ""unemployed"", ""annual_income"": 39342, ""years_employed"": 28}"
L0001399,C003570,PERSONAL,41418,20.38,24,2020-09-11,partner,default,"{""credit_score"": 650, ""employment"": ""self-employed"", ""annual_income"": 31183, ""years_employed"": 30}"
L0005543,C001278,Personal,3327.42,18.64,24,2025-01-07,partner,active,"{""credit_score"": 755, ""employment"": ""salaried"", ""annual_income"": 254811, ""years_employed"": 19}"
L0000892,C004487,auto,30221,7.92,48,23-May-2023,online,default,"{""credit_score"": 691, ""employment"": ""retired"", ""annual_income"": 66106, ""years_employed"": 24}"
L0009388,C003843,mortgage,"$654,472.84",5.82,240,05/18/2021,online,active,"{""credit_score"": 726, ""employment"": ""self-employed"", ""annual_income"": 245900, ""years_employed"": 16}"
L0002828,C000425,personal,14808.78,7.23,24,01-Mar-2024,online,active,"{""credit_score"": 686, ""employment"": ""unemployed"", ""annual_income"": 148539, ""years_employed"": 3}"
L0003549,C004720,Mortgage,1434620.03,5.32,120,2023-02-13,partner,closed,"{""credit_score"": 639, ""employment"": ""unemployed"", ""annual_income"": 289545, ""years_employed"": 13}"
L0007304,C002549,PERSONAL,17473.54,16.06,48,2025-05-13,partner,closed,"{""credit_score"": 589, ""employment"": ""self-employed"", ""annual_income"": 250444, ""years_employed"": 5}"
L0006419,C004500,PERSONAL,36153.57,9.42,60,2022-02-06,online,closed,"{""credit_score"": 556, ""employment"": ""salaried"", ""annual_income"": 199535, ""years_employed"": 17}"
L0003032,C002361,PERSONAL,"$18,612.95",20.55,36,07/24/2020,branch,active,"{""credit_score"": 780, ""employment"": ""unemployed"", ""annual_income"": 115377, ""years_employed"": 20}"
L0001932,C003925,AUTO,52033.10,4.78,72,2021-01-25,branch,active,"{""credit_score"": 654, ""employment"": ""unemployed"", ""annual_income"": 218422, ""years_employed"": 30}"
L0002351,C002680,MORTGAGE,"1,494,198.83",5.32,240,2023-08-24,online,active,"{""credit_score"": 780, ""employment"": ""retired"", ""annual_income"": 183084, ""years_employed"": 4}"
L0004347,C005377,AUTO,36827.97,6.4,72,2024-02-04,branch,active,"{""credit_score"": 697, ""employment"": ""salaried"", ""annual_income"": 256318, ""years_employed"": 18}"
L0007565,C005216,STUDENT,120178.49,3.48,120,2021-06-24,online,active,"{""credit_score"": 748, ""employment"": ""unemployed"", ""annual_income"": 238451, ""years_employed"": 25}"
L0009852,C002723,personal,27017.67,12.0,60,2025-05-15,online,active,"{""credit_score"": 612, ""employment"": ""unemployed"", ""annual_income"": 190752, ""years_employed"": 23}"
L0004296,C004463,mortgage,"769,224.82",3.35,180,2022-06-09,broker,charged_off,"{""credit_score"": 666, ""employment"": ""self-employed"", ""annual_income"": 211077, ""years_employed"": 5}"
L0004202,C005008,student,184680.28,5.6,240,2024-10-28,partner,closed,"{""credit_score"": 745, ""employment"": ""self-employed"", ""annual_income"": 228270, ""years_employed"": 6}"
L0001287,C001733,MORTGAGE,138008.88,6.09,180,2021-06-07,branch,closed,"{""credit_score"": 741, ""employment"": ""self-employed"", ""annual_income"": 186376, ""years_employed"": 4}"
L0004468,C000985,AUTO,66315,8.06,36,2023-03-08,branch,active,"{""credit_score"": 697, ""employment"": ""self-employed"", ""annual_income"": 234920, ""years_employed"": 8}"
L0000235,C002551,MORTGAGE,967934,4.96,360,2020-08-04,broker,closed,"{""credit_score"": 720, ""employment"": ""self-employed"", ""annual_income"": 299699, ""years_employed"": 2}"
L0006455,C004503,MORTGAGE,"$613,451.57",6.37,180,02/18/2025,online,default,"{""credit_score"": 765, ""employment"": ""unemployed"", ""annual_income"": 271365, ""years_employed"": 4}"
L0004982,C002171,AUTO,66325.13,8.74,60,2020-07-08,online,active,"{""credit_score"": 711, ""employment"": ""salaried"", ""annual_income"": 188941, ""years_employed"": 11}"
L0006197,C000802,Personal,27278.46,15.53,36,2024-12-31,partner,active,"{""credit_score"": 826, ""employment"": ""self-employed"", ""annual_income"": 45198, ""years_employed"": 5}"
L0003464,C001065,MORTGAGE,993430.31,5.38,180,2022-04-23,partner,default,"{""credit_score"": 786, ""employment"": ""salaried"", ""annual_income"": 268504, ""years_employed"": 6}"
L0004819,C004786,student,131998,8.62,240,30-Jan-2020,branch,default,"{""credit_score"": 665, ""employment"": ""salaried"", ""annual_income"": 214791, ""years_employed"": 26}"
L0003562,C001825,Personal,21634,14.38,24,2022-12-25,branch,default,"{""credit_score"": 684, ""employment"": ""retired"", ""annual_income"": 183241, ""years_employed"": 22}"
L0003411,C001507,mortgage,"105,966.03",7.8,240,05-Mar-2021,broker,charged_off,"{""credit_score"": 692, ""employment"": ""salaried"", ""annual_income"": 86040, ""years_employed"": 19}"
L0007674,C003203,Student,187463.15,11.06,180,2023-05-18,broker,active,"{""credit_score"": 751, ""employment"": ""salaried"", ""annual_income"": 97703, ""years_employed"": 1}"
L0006818,C003768,student,160673.77,7.63,120,2025-02-11,partner,active,"{""credit_score"": 835, ""employment"": ""retired"", ""annual_income"": 139985, ""years_employed"": 7}"
L0001692,C004062,Auto,5768.42,10.38,72,2022-06-15,online,active,"{""credit_score"": 753, ""employment"": ""unemployed"", ""annual_income"": 299604, ""years_employed"": 29}"
L0002333,C001299,Mortgage,315922.48,5.38,240,20-Sep-2022,broker,charged_off,"{""credit_score"": 694, ""employment"": ""salaried"", ""annual_income"": 252144, ""years_employed"": 13}"
L0005258,C005071,STUDENT,"$41,122.25",7.3,120,02/27/2023,branch,default,"{""credit_score"": 567, ""employment"": ""unemployed"", ""annual_income"": 269599, ""years_employed"": 4}"
L0003779,C005496,Auto,12697.35,6.16,36,2022-03-16,broker,closed,"{""credit_score"": 688, ""employment"": ""unemployed"", ""annual_income"": 260294, ""years_employed"": 22}"
L0007681,C002257,student,"94,346.62",4.64,120,2024-07-01,online,charged_off,"{""credit_score"": 663, ""employment"": ""retired"", ""annual_income"": 269438, ""years_employed"": 2}"
L0006349,C002667,Personal,2759,24.73,60,2023-01-25,online,active,"{""credit_score"": 654, ""employment"": ""unemployed"", ""annual_income"": 100385, ""years_employed"": 7}"
L0001328,C005830,AUTO,17172.96,5.0,36,2023-05-26,online,charged_off,"{""credit_score"": 556, ""employment"": ""unemployed"", ""annual_income"": 74232, ""years_employed"": 4}"
L0009332,C000878,PERSONAL,"$18,271.83",11.29,24,10/16/2022,online,active,"{""credit_score"": 795, ""employment"": ""retired"", ""annual_income"": 186778, ""years_employed"": 3}"
L0000590,C001242,PERSONAL,9005.70,13.09,60,2022-01-01,online,default,"{""credit_score"": 752, ""employment"": ""self-employed"", ""annual_income"": 66909, ""years_employed"": 26}"
L0005321,C004223,student,"$53,691.93",8.46,240,02/20/2021,partner,active,"{""credit_score"": 635, ""employment"": ""unemployed"", ""annual_income"": 185381, ""years_employed"": 0}"
L0005782,C000631,STUDENT,115319,5.14,180,2020-02-08,online,active,"{""credit_score"": 822, ""employment"": ""salaried"", ""annual_income"": 225030, ""years_employed"": 25}"
L0008586,C002045,Mortgage,"1,159,485.22",6.8,120,2022-11-22,branch,default,"{""credit_score"": 769, ""employment"": ""self-employed"", ""annual_income"": 71065, ""years_employed"": 13}"
L0000567,C005932,Mortgage,1384417.38,6.84,180,2020-01-08,online,active,"{""credit_score"": 560, ""employment"": ""unemployed"", ""annual_income"": 222403, ""years_employed"": 9}"
L0007100,C001974,Personal,20004.83,11.7,36,2021-10-15,branch,closed,"{""credit_score"": 790, ""employment"": ""retired"", ""annual_income"": 100762, ""years_employed"": 19}"
L0004412,C005150,Student,199700.73,5.6,180,19-Dec-2020,partner,default,"{""credit_score"": 761, ""employment"": ""self-employed"", ""annual_income"": 272073, ""years_employed"": 5}"
L0004860,C000173,mortgage,215881.88,5.97,240,2023-07-21,partner,charged_off,"{""credit_score"": 849, ""employment"": ""self-employed"", ""annual_income"": 101415, ""years_employed"": 26}"
L0009870,C004005,STUDENT,18873.67,4.01,120,2024-03-13,broker,active,"{""credit_score"": 596, ""employment"": ""unemployed"", ""annual_income"": 271149, ""years_employed"": 25}"
L0001367,C003708,auto,68691.87,12.05,36,2023-07-05,branch,active,"{""credit_score"": 813, ""employment"": ""retired"", ""annual_income"": 214755, ""years_employed"": 29}"
L0007509,C001062,PERSONAL,5949.26,24.29,12,2023-03-21,broker,active,"{""credit_score"": 657, ""employment"": ""salaried"", ""annual_income"": 131986, ""years_employed"": 5}"
L0004916,C005378,PERSONAL,"23,614.29",19.1,60,2021-11-26,online,active,"{""credit_score"": 718, ""employment"": ""self-employed"", ""annual_income"": 220696, ""years_employed"": 26}"
L0005096,C005870,personal,"13,416.27",20.72,36,2024-05-05,broker,active,"{""credit_score"": 828, ""employment"": ""salaried"", ""annual_income"": 58213, ""years_employed"": 21}"
L0002238,C000574,Personal,5480.50,20.51,48,2023-01-09,branch,active,"{""credit_score"": 738, ""employment"": ""retired"", ""annual_income"": 131288, ""years_employed"": 0}"
L0001605,C002608,auto,5270.01,13.95,72,2021-04-05,branch,closed,"{""credit_score"": 705, ""employment"": ""salaried"", ""annual_income"": 181665, ""years_employed"": 14}"
L0001059,C003760,personal,12278.73,19.25,24,2023-02-11,branch,charged_off,"{""credit_score"": 629, ""employment"": ""salaried"", ""annual_income"": 161414, ""years_employed"": 10}"
L0004487,C003977,MORTGAGE,1202021.55,3.84,180,2024-12-23,broker,default,"{""credit_score"": 791, ""employment"": ""retired"", ""annual_income"": 292982, ""years_employed"": 22}"
L0006458,C005365,PERSONAL,27715.55,7.47,48,26-Dec-2023,partner,active,"{""credit_score"": 676, ""employment"": ""salaried"", ""annual_income"": 195592, ""years_employed"": 0}"
L0008350,C003294,STUDENT,138527,3.29,180,27-May-2022,branch,active,"{""credit_score"": 804, ""employment"": ""unemployed"", ""annual_income"": 94720, ""years_employed"": 12}"
L0000618,C001422,Auto,22907.81,8.91,72,2023-05-13,partner,charged_off,"{""credit_score"": 626, ""employment"": ""unemployed"", ""annual_income"": 219314, ""years_employed"": 0}"
L0004159,C000328,Student,"$90,269.25",8.11,180,26-Jul-2022,broker,closed,"{""credit_score"": 598, ""employment"": ""self-employed"", ""annual_income"": 105896, ""years_employed"": 23}"
L0008563,C002701,MORTGAGE,1256189,7.6,240,2020-05-08,partner,default,"{""credit_score"": 838, ""employment"": ""retired"", ""annual_income"": 119280, ""years_employed"": 26}"
L0006896,C005339,personal,"$38,880.82",10.78,24,04/28/2022,broker,default,"{""credit_score"": 578, ""employment"": ""unemployed"", ""annual_income"": 210701, ""years_employed"": 6}"
L0009169,C000442,Student,178517,7.56,60,2024-06-09,online,closed,"{""credit_score"": 569, ""employment"": ""unemployed"", ""annual_income"": 63217, ""years_employed"": 4}"
L0003382,C000882,PERSONAL,"$49,764.02",9.87,48,11/04/2024,broker,active,"{""credit_score"": 820, ""employment"": ""retired"", ""annual_income"": 260325, ""years_employed"": 26}"
L0004331,C005806,Auto,"17,641.96",7.14,36,2024-09-29,online,closed,"{""credit_score"": 802, ""employment"": ""salaried"", ""annual_income"": 135289, ""years_employed"": 25}"
L0008308,C004246,mortgage,1667441,6.46,180,2023-05-11,partner,default,"{""credit_score"": 630, ""employment"": ""salaried"", ""annual_income"": 151764, ""years_employed"": 16}"
L0004757,C002637,Mortgage,1217348.55,7.45,240,2022-06-21,partner,default,"{""credit_score"": 743, ""employment"": ""self-employed"", ""annual_income"": 37566, ""years_employed"": 8}"
L0008805,C005897,AUTO,20794.29,4.86,60,2023-03-08,partner,closed,"{""credit_score"": 577, ""employment"": ""retired"", ""annual_income"": 245215, ""years_employed"": 25}"
L0003330,C002183,student,64902.81,9.29,120,2020-12-20,online,active,"{""credit_score"": 786, ""employment"": ""self-employed"", ""annual_income"": 228734, ""years_employed"": 0}"
L0005292,C000302,Personal,4619.57,21.27,24,24-Dec-2022,online,active,"{""credit_score"": 780, ""employment"": ""unemployed"", ""annual_income"": 119888, ""years_employed"": 12}"
L0003371,C002834,Personal,"33,048.97",14.47,60,2020-12-03,branch,closed,"{""credit_score"": 747, ""employment"": ""salaried"", ""annual_income"": 193797, ""years_employed"": 4}"
L0004887,C005578,Auto,"$61,235.25",11.46,84,12/18/2020,partner,active,"{""credit_score"": 711, ""employment"": ""self-employed"", ""annual_income"": 286489, ""years_employed"": 23}"
L0007767,C000856,AUTO,63153.90,8.14,48,07-Sep-2024,broker,active,"{""credit_score"": 751, ""employment"": ""retired"", ""annual_income"": 260710, ""years_employed"": 26}"
L0004989,C000781,mortgage,1754743.65,6.16,360,2023-02-24,branch,default,"{""credit_score"": 649, ""employment"": ""self-employed"", ""annual_income"": 188264, ""years_employed"": 1}"
L0001655,C004311,mortgage,342916.21,5.1,360,2021-10-11,broker,default,"{""credit_score"": 777, ""employment"": ""unemployed"", ""annual_income"": 295429, ""years_employed"": 21}"
L0004580,C004079,personal,13082.26,13.24,36,2022-02-23,broker,default,"{""credit_score"": 577, ""employment"": ""self-employed"", ""annual_income"": 168273, ""years_employed"": 9}"
L0005110,C002202,STUDENT,27276,10.11,60,2023-02-28,branch,active,"{""credit_score"": 613, ""employment"": ""self-employed"", ""annual_income"": 160226, ""years_employed"": 25}"
L0003820,C003077,student,102597,3.79,180,2023-03-24,partner,charged_off,"{""credit_score"": 649, ""employment"": ""unemployed"", ""annual_income"": 175501, ""years_employed"": 10}"
L0005779,C000830,mortgage,301997,6.56,180,2020-01-18,broker,charged_off,"{""credit_score"": 651, ""employment"": ""retired"", ""annual_income"": 104000, ""years_employed"": 7}"
L0009285,C005999,PERSONAL,27046.96,9.61,60,03-Jan-2023,branch,active,"{""credit_score"": 787, ""employment"": ""retired"", ""annual_income"": 171765, ""years_employed"": 0}"
L0001938,C005617,AUTO,14663.57,13.61,84,2023-11-29,broker,default,"{""credit_score"": 556, ""employment"": ""salaried"", ""annual_income"": 74495, ""years_employed"": 10}"
L0003523,C001935,Mortgage,1202141,3.16,180,2021-11-29,online,default,"{""credit_score"": 770, ""employment"": ""unemployed"", ""annual_income"": 41884, ""years_employed"": 17}"
L0007869,C003841,PERSONAL,"$15,487.74",17.82,60,08/29/2022,broker,active,"{""credit_score"": 776, ""employment"": ""self-employed"", ""annual_income"": 210716, ""years_employed"": 29}"
L0003023,C001786,Personal,38032.98,19.2,24,2020-12-10,partner,charged_off,"{""credit_score"": 631, ""employment"": ""retired"", ""annual_income"": 92649, ""years_employed"": 14}"
L0008785,C000387,MORTGAGE,931145,7.23,120,2024-05-26,branch,active,"{""credit_score"": 623, ""employment"": ""salaried"", ""annual_income"": 148071, ""years_employed"": 8}"
L0003315,C002707,mortgage,1804985.82,5.86,120,2023-08-04,branch,active,"{""credit_score"": 750, ""employment"": ""unemployed"", ""annual_income"": 215113, ""years_employed"": 27}"
L0000238,C002804,auto,10842,10.56,72,2022-09-23,branch,closed,"{""credit_score"": 757, ""employment"": ""salaried"", ""annual_income"": 77013, ""years_employed"": 21}"
L0002824,C001084,personal,48835,22.3,48,2020-12-24,partner,default,"{""credit_score"": 765, ""employment"": ""self-employed"", ""annual_income"": 20384, ""years_employed"": 24}"
L0006601,C005207,Student,"45,736.14",10.91,60,12-Jun-2024,partner,active,"{""credit_score"": 600, ""employment"": ""salaried"", ""annual_income"": 186194, ""years_employed"": 17}"
L0005577,C003463,Mortgage,1383603.92,7.71,360,2025-05-16,branch,closed,"{""credit_score"": 687, ""employment"": ""self-employed"", ""annual_income"": 190739, ""years_employed"": 18}"
L0004161,C003703,student,"102,549.35",7.84,60,2022-02-17,branch,active,"{""credit_score"": 608, ""employment"": ""unemployed"", ""annual_income"": 288170, ""years_employed"": 11}"
L0001496,C000430,personal,"14,658.24",13.41,36,2021-06-28,branch,charged_off,"{""credit_score"": 829, ""employment"": ""salaried"", ""annual_income"": 161771, ""years_employed"": 14}"
L0002588,C000718,Mortgage,868319.91,7.51,240,2021-11-12,partner,charged_off,"{""credit_score"": 756, ""employment"": ""retired"", ""annual_income"": 159417, ""years_employed"": 6}"
L0001614,C002921,auto,69464.45,8.32,48,2024-09-26,partner,default,"{""credit_score"": 635, ""employment"": ""retired"", ""annual_income"": 43848, ""years_employed"": 27}"
L0003499,C002520,PERSONAL,41903,8.79,36,19-Jan-2023,branch,active,"{""credit_score"": 798, ""employment"": ""retired"", ""annual_income"": 138438, ""years_employed"": 14}"
L0004320,C004402,Personal,"$42,766.50",15.81,24,07/17/2023,online,charged_off,"{""credit_score"": 738, ""employment"": ""self-employed"", ""annual_income"": 137768, ""years_employed"": 1}"
L0006484,C002461,personal,17253,9.54,12,2024-06-11,branch,charged_off,"{""credit_score"": 570, ""employment"": ""salaried"", ""annual_income"": 188586, ""years_employed"": 10}"
L0005190,C000939,mortgage,1076779.59,5.81,120,2022-08-06,branch,closed,"{""credit_score"": 796, ""employment"": ""salaried"", ""annual_income"": 91519, ""years_employed"": 3}"
L0001900,C005297,Personal,34985,24.98,12,2025-05-14,branch,closed,"{""credit_score"": 572, ""employment"": ""unemployed"", ""annual_income"": 163240, ""years_employed"": 19}"
L0004627,C003501,personal,49403,12.8,48,2022-04-10,partner,charged_off,"{""credit_score"": 720, ""employment"": ""retired"", ""annual_income"": 23602, ""years_employed"": 14}"
L0007976,C001235,personal,"49,494.23",22.27,24,12-May-2024,partner,default,"{""credit_score"": 826, ""employment"": ""retired"", ""annual_income"": 246146, ""years_employed"": 8}"
L0008158,C005648,Mortgage,135238,6.32,180,2023-11-23,online,closed,"{""credit_score"": 817, ""employment"": ""self-employed"", ""annual_income"": 231444, ""years_employed"": 19}"
L0007281,C000581,auto,"$5,128.38",12.88,84,08/04/2023,partner,charged_off,"{""credit_score"": 742, ""employment"": ""retired"", ""annual_income"": 260349, ""years_employed"": 9}"
L0001012,C001976,auto,32090,9.3,60,2020-06-20,online,active,"{""credit_score"": 683, ""employment"": ""unemployed"", ""annual_income"": 295766, ""years_employed"": 16}"
L0004232,C001866,mortgage,1146583.47,4.85,360,2022-03-10,branch,active,"{""credit_score"": 717, ""employment"": ""retired"", ""annual_income"": 28650, ""years_employed"": 27}"
L0002791,C003870,Student,"12,611.43",4.55,60,2024-07-20,branch,active,"{""credit_score"": 792, ""employment"": ""self-employed"", ""annual_income"": 202930, ""years_employed"": 7}"
L0001389,C000193,mortgage,1312534.27,6.06,180,2021-07-12,broker,closed,"{""credit_score"": 563, ""employment"": ""self-employed"", ""annual_income"": 251172, ""years_employed"": 25}"
L0001791,C000519,Auto,"28,368.34",8.15,84,2023-01-19,online,charged_off,"{""credit_score"": 618, ""employment"": ""self-employed"", ""annual_income"": 169676, ""years_employed"": 3}"
L0007149,C004716,student,142202.30,9.87,120,2022-11-15,broker,default,"{""credit_score"": 597, ""employment"": ""salaried"", ""annual_income"": 202605, ""years_employed"": 0}"
L0009492,C003336,STUDENT,178694.97,5.61,180,2024-08-02,online,active,"{""credit_score"": 605, ""employment"": ""retired"", ""annual_income"": 134373, ""years_employed"": 4}"
L0001800,C000619,MORTGAGE,"$1,721,434.36",7.17,240,05/08/2023,broker,closed,"{""credit_score"": 709, ""employment"": ""self-employed"", ""annual_income"": 40312, ""years_employed"": 1}"
L0006830,C003204,personal,1389.38,7.23,36,2022-12-02,branch,default,"{""credit_score"": 836, ""employment"": ""unemployed"", ""annual_income"": 33749, ""years_employed"": 13}"
L0008671,C003848,Personal,"49,986.66",24.73,12,2020-03-21,branch,closed,"{""credit_score"": 750, ""employment"": ""salaried"", ""annual_income"": 230943, ""years_employed"": 7}"
L0009610,C005389,Mortgage,1725818,6.41,180,2024-11-13,branch,active,"{""credit_score"": 785, ""employment"": ""self-employed"", ""annual_income"": 193060, ""years_employed"": 9}"
